Date,D0,D1,D2,Value
1989-02,E,T,WMF,6894.722
1989-02,E,T,N,7.2
1989-02,E,T,R,0.9
1989-02,E,MAE,WMF,1371.161
1989-02,E,MAE,N,-2.9
1989-02,E,MAE,R,-6.4
1989-02,E,PUB,WMF,497.772
1989-02,E,PUB,N,29.7
1989-02,E,PUB,R,19.3
1989-02,E,C,WMF,863.823
1989-02,E,C,N,10.6
1989-02,E,C,R,6.5
1989-02,E,TBS0,WMF,771.397
1989-02,E,TBS0,N,19.9
1989-02,E,TBS0,R,7.7
1989-02,E,F,WMF,818.283
1989-02,E,F,N,6.1
1989-02,E,F,R,1.3
1989-02,A,T,WMF,5858.717
1989-02,A,T,N,2.7
1989-02,A,T,R,-2.4
1989-02,A,MAE,WMF,1824.789
1989-02,A,MAE,N,-1
1989-02,A,MAE,R,-4.6
1989-02,A,C,WMF,1423.931
1989-02,A,C,N,7.7
1989-02,A,C,R,-1.7
1989-02,A,M,WMF,581.022
1989-02,A,M,N,8.2
1989-02,A,M,R,2.2
1989-02,A,U,WMF,442.823
1989-02,A,U,N,5.2
1989-02,A,U,R,4.8
1989-02,A,P,WMF,330.383
1989-02,A,P,N,0
1989-02,A,P,R,-4.9
1989-02,A,TBS1,WMF,386.225
1989-02,A,TBS1,N,5.1
1989-02,A,TBS1,R,-1.5
1989-02,H,T,WMF,-1036.005
1989-03,E,T,WMF,7709.062
1989-03,E,T,N,19.9
1989-03,E,T,R,11.8
1989-03,E,MAE,WMF,1639.308
1989-03,E,MAE,N,16.1
1989-03,E,MAE,R,9.8
1989-03,E,PUB,WMF,425.083
1989-03,E,PUB,N,10.8
1989-03,E,PUB,R,2.2
1989-03,E,C,WMF,910.312
1989-03,E,C,N,16.5
1989-03,E,C,R,11.9
1989-03,E,TBS0,WMF,848.875
1989-03,E,TBS0,N,32
1989-03,E,TBS0,R,16.5
1989-03,E,F,WMF,970.955
1989-03,E,F,N,25.8
1989-03,E,F,R,19.3
1989-03,A,T,WMF,6587.023
1989-03,A,T,N,15.5
1989-03,A,T,R,9.7
1989-03,A,MAE,WMF,2111.353
1989-03,A,MAE,N,14.6
1989-03,A,MAE,R,13.1
1989-03,A,C,WMF,1515.828
1989-03,A,C,N,14.7
1989-03,A,C,R,2.4
1989-03,A,M,WMF,659.037
1989-03,A,M,N,22.8
1989-03,A,M,R,15.7
1989-03,A,U,WMF,474.278
1989-03,A,U,N,12.7
1989-03,A,U,R,5.7
1989-03,A,P,WMF,371.174
1989-03,A,P,N,12.3
1989-03,A,P,R,13.3
1989-03,A,TBS1,WMF,427.181
1989-03,A,TBS1,N,16.3
1989-03,A,TBS1,R,11.9
1989-03,H,T,WMF,-1122.039
1989-04,E,T,WMF,7570.737
1989-04,E,T,N,17.7
1989-04,E,T,R,7.4
1989-04,E,MAE,WMF,1621.691
1989-04,E,MAE,N,14.8
1989-04,E,MAE,R,6.2
1989-04,E,PUB,WMF,437.795
1989-04,E,PUB,N,14.1
1989-04,E,PUB,R,-1.5
1989-04,E,C,WMF,948.32
1989-04,E,C,N,21.4
1989-04,E,C,R,11.2
1989-04,E,TBS0,WMF,654.716
1989-04,E,TBS0,N,1.8
1989-04,E,TBS0,R,-6.9
1989-04,E,F,WMF,1030.028
1989-04,E,F,N,33.5
1989-04,E,F,R,25.8
1989-04,A,T,WMF,6547.399
1989-04,A,T,N,14.8
1989-04,A,T,R,7.8
1989-04,A,MAE,WMF,1969.43
1989-04,A,MAE,N,6.9
1989-04,A,MAE,R,2.8
1989-04,A,C,WMF,1604.634
1989-04,A,C,N,21.4
1989-04,A,C,R,7.9
1989-04,A,M,WMF,634.203
1989-04,A,M,N,18.2
1989-04,A,M,R,10.6
1989-04,A,U,WMF,529.114
1989-04,A,U,N,25.7
1989-04,A,U,R,12.5
1989-04,A,P,WMF,371.125
1989-04,A,P,N,12.3
1989-04,A,P,R,10.6
1989-04,A,TBS1,WMF,398.6
1989-04,A,TBS1,N,8.5
1989-04,A,TBS1,R,1.5
1989-04,H,T,WMF,-1023.338
1989-05,E,T,WMF,7502.702
1989-05,E,T,N,16.7
1989-05,E,T,R,5.8
1989-05,E,MAE,WMF,1714.002
1989-05,E,MAE,N,21.3
1989-05,E,MAE,R,10.1
1989-05,E,PUB,WMF,442.046
1989-05,E,PUB,N,15.2
1989-05,E,PUB,R,-1.3
1989-05,E,C,WMF,943.768
1989-05,E,C,N,20.8
1989-05,E,C,R,8.9
1989-05,E,TBS0,WMF,580.076
1989-05,E,TBS0,N,-9.8
1989-05,E,TBS0,R,-11.1
1989-05,E,F,WMF,867.246
1989-05,E,F,N,12.4
1989-05,E,F,R,4.9
1989-05,A,T,WMF,6167.851
1989-05,A,T,N,8.1
1989-05,A,T,R,1.8
1989-05,A,MAE,WMF,1872.477
1989-05,A,MAE,N,1.6
1989-05,A,MAE,R,-2.6
1989-05,A,C,WMF,1486.694
1989-05,A,C,N,12.5
1989-05,A,C,R,2
1989-05,A,M,WMF,606.996
1989-05,A,M,N,13.1
