,Date,D0,D1,Value
776,1915-03,M1,NZD1,
777,1915-03,M1,SGD100,
778,1915-03,M1,THB100,
779,1915-03,M1,XDR1,
780,1915-04,M0,EUR1,
781,1915-04,M0,GBP1,25.607
782,1915-04,M0,DKK100,
783,1915-04,M0,NOK100,
784,1915-04,M0,CZK100,
785,1915-04,M0,HUF100,
786,1915-04,M0,PLN100,
787,1915-04,M0,RUB100,
788,1915-04,M0,SEK100,
789,1915-04,M0,TRY100,
790,1915-04,M0,USD1,5.332000000000001
791,1915-04,M0,CAD1,
792,1915-04,M0,ARS100,
793,1915-04,M0,BRL100,
794,1915-04,M0,MXN100,
795,1915-04,M0,ZAR1,
796,1915-04,M0,JPY100,
797,1915-04,M0,AUD1,
798,1915-04,M0,CNY100,
799,1915-04,M0,HKD100,
800,1915-04,M0,KRW100,
801,1915-04,M0,MYR100,
802,1915-04,M0,NZD1,
803,1915-04,M0,SGD100,
804,1915-04,M0,THB100,
805,1915-04,M0,XDR1,
806,1915-04,M1,EUR1,
807,1915-04,M1,GBP1,
808,1915-04,M1,DKK100,
809,1915-04,M1,NOK100,
810,1915-04,M1,CZK100,
811,1915-04,M1,HUF100,
812,1915-04,M1,PLN100,
813,1915-04,M1,RUB100,
814,1915-04,M1,SEK100,
815,1915-04,M1,TRY100,
816,1915-04,M1,USD1,
817,1915-04,M1,CAD1,
818,1915-04,M1,ARS100,
819,1915-04,M1,BRL100,
820,1915-04,M1,MXN100,
821,1915-04,M1,ZAR1,
822,1915-04,M1,JPY100,
823,1915-04,M1,AUD1,
824,1915-04,M1,CNY100,
825,1915-04,M1,HKD100,
826,1915-04,M1,KRW100,
827,1915-04,M1,MYR100,
828,1915-04,M1,NZD1,
829,1915-04,M1,SGD100,
830,1915-04,M1,THB100,
831,1915-04,M1,XDR1,
832,1915-05,M0,EUR1,
833,1915-05,M0,GBP1,25.4
834,1915-05,M0,DKK100,
835,1915-05,M0,NOK100,
836,1915-05,M0,CZK100,
837,1915-05,M0,HUF100,
838,1915-05,M0,PLN100,
839,1915-05,M0,RUB100,
840,1915-05,M0,SEK100,
841,1915-05,M0,TRY100,
842,1915-05,M0,USD1,5.29
843,1915-05,M0,CAD1,
844,1915-05,M0,ARS100,
845,1915-05,M0,BRL100,
846,1915-05,M0,MXN100,
847,1915-05,M0,ZAR1,
848,1915-05,M0,JPY100,
849,1915-05,M0,AUD1,
850,1915-05,M0,CNY100,
851,1915-05,M0,HKD100,
852,1915-05,M0,KRW100,
853,1915-05,M0,MYR100,
854,1915-05,M0,NZD1,
855,1915-05,M0,SGD100,
856,1915-05,M0,THB100,
857,1915-05,M0,XDR1,
858,1915-05,M1,EUR1,
859,1915-05,M1,GBP1,
860,1915-05,M1,DKK100,
861,1915-05,M1,NOK100,
862,1915-05,M1,CZK100,
863,1915-05,M1,HUF100,
864,1915-05,M1,PLN100,
