Date,year,month,DateNum,Exp_All_N,Exp_All_R,Exp_All_WMF,Exp_Chemistry_N,Exp_Chemistry_R,Exp_Chemistry_WMF,Exp_Clothing_N,Exp_Clothing_R,Exp_Clothing_WMF,Exp_Machines_N,Exp_Machines_R,Exp_Machines_WMF,Exp_Metals_N,Exp_Metals_R,Exp_Metals_WMF,Exp_PrecisionNarr_N,Exp_PrecisionNarr_R,Exp_PrecisionNarr_WMF,Exp_Watches_N,Exp_Watches_R,Exp_Watches_WMF,Imp_All_N,Imp_All_R,Imp_All_WMF,Imp_Chemistry_N,Imp_Chemistry_R,Imp_Chemistry_WMF,Imp_Clothing_N,Imp_Clothing_R,Imp_Clothing_WMF,Imp_Machines_N,Imp_Machines_R,Imp_Machines_WMF,Imp_Precision_N,Imp_Precision_R,Imp_Precision_WMF,Imp_Vehicles_N,Imp_Vehicles_R,Imp_Vehicles_WMF,TradeBal_All_WMF,EUR,USD,gEUR,gUSD
2004-02,2004,2,2004.0833333333333,8.5,8,11977.509,5.4,8.4,4311.082,4.1,1.4,380.316,2.2,-0.4,2552.218,8,6.6,889.42,8.3,1.5,846.109,9.5,5.5,810.739,3.2,1.9,10719.297,-2.8,-8.7,2100.748,2.6,2.7,843.817,1.6,1.3,2136.286,5.6,0.6,807.91,10.2,21.5,1136.11,1258.212,1.5731,1.2436,0.44697018070365413,0.1530160264153979
2004-03,2004,3,2004.1666666666667,16.7,10.2,13361.222,12.5,-1.5,4569.474,8.9,4.9,396.272,18.8,16.9,3051.766,19.8,18.2,1040.948,20.3,16.5,997.537,16.3,18.9,903.619,13.9,12.3,12796.292,20.1,17.5,2733.887,13,12.3,870.524,17.7,15.5,2594.108,10.9,7.1,987.068,4.9,7.2,1330.638,564.93,1.5666,1.2767,-0.41319687241752057,2.661627532968791
2004-04,2004,4,2004.25,10.3,5.3,11983.312,14.9,5.4,4131.875,1.1,-2.3,300.642,8.1,4.6,2790.747,12.7,8.2,937.104,0.1,-2.8,839.833,8.5,6.9,822.427,8.6,6.4,11595.832,9.1,4.5,2720.924,4.4,5.1,626.774,10.8,11.1,2306.516,17.1,8.8,805.968,1.1,2.5,1170.319,387.48,1.5547,1.2965,-0.7596067917783778,1.550873345343473
2004-05,2004,5,2004.3333333333333,1.3,-3.8,11509.955,7.4,-3.7,4082.987,0.7,-4.1,310.671,6.1,2.4,2608.465,4.2,3.7,881.466,0.6,4.2,778.606,2.9,4.6,802.011,1.7,-1.3,10269.753,-10.2,-19.3,1987.908,-0.8,0.9,551.281,7.4,9.9,2136.362,7.7,1.7,773.734,4.3,8.1,1194.262,1240.202,1.5408,1.2828,-0.8940631633112539,-1.0566910913999306
2004-06,2004,6,2004.4166666666667,16.9,13.1,12939.518,11,2.6,4340.405,11.5,10.3,398.863,20.4,18.8,2992.529,22.9,22.9,998.595,14.2,23.7,902.373,27.9,27.2,1036.264,18.7,16.9,12071.506,20.3,8.8,2554.892,9.6,13.9,684.231,15.6,20.4,2369.227,14.9,13.4,894.503,40.2,48.9,1522.143,868.012,1.5187,1.251,-1.4343198338525487,-2.478952291861558
2004-07,2004,7,2004.5,3.4,-1,12431.487,4,-4.2,4106.359,-6,-5.3,407.856,5,3,2933.746,6.5,3.7,946.292,0.8,9.9,828.283,5.7,0.7,962.799,-1.5,-1.9,11555.579,-0.4,-5.5,2540.355,-7.4,-3.3,853.519,0.4,5.1,2294.904,-1.5,1.4,820.536,-13.5,-13.4,1235.803,875.908,1.5268,1.2438,0.5333508922104491,-0.5755395683453179
2004-08,2004,8,2004.5833333333333,19.2,18,10513.62,21.7,22.4,3622.355,8.2,9.1,283.413,18.7,16.4,2504.715,22.1,21.6,763.552,7.1,13.8,706.512,24.9,17.4,756.867,19.8,15.9,10327.935,31.6,15.7,2449.293,7.7,9,780.846,15.3,19.8,2018.589,22.2,17.1,680.917,20.6,23.6,877.53,185.685,1.5381,1.2629,0.7401100340581612,1.5356166586267816
2004-09,2004,9,2004.6666666666667,5.7,1.6,12883.439,11.2,0.4,4331.566,-1.3,0,386.259,6.6,9.6,2936.456,8.3,3.9,1000.663,0.8,4.7,861.97,0.8,0.2,954.766,10.5,5.2,12119.086,19.8,2.1,2435.316,-4.1,-2.9,840.897,7.4,5.5,2369.334,4.8,7.2,880.295,18.3,18.3,1445.907,764.353,1.5431,1.2631,0.32507639295233925,0.015836566632354554
2004-10,2004,10,2004.75,-2.4,-3.4,12915.157,-1.3,-1.5,4269.316,-5.9,-7.2,334.927,1.9,2.1,2952.882,4.6,-0.7,1003.15,-6.5,-4.7,891.446,4.9,-2.1,1201.908,-0.1,-6.5,11869.831,12.2,-4.5,2531.132,-5.4,-3.4,654.402,-2.4,-1.1,2416.081,5.1,-1.1,938.676,-17.6,-23.6,1260.153,1045.326,1.5427,1.235,-0.025921845635401564,-2.2246852980761456
2004-11,2004,11,2004.8333333333333,9.5,10.2,13306.266,16.7,15.7,4357.228,-2.6,-0.6,347.825,12.7,17.7,3179.714,15.1,11.4,997.682,3,4,911.907,11.8,6.2,1264.278,9.9,5.5,12098.761,15.2,4,2689.386,4.8,6.8,625.864,4.7,6.8,2444.933,5.5,2.9,842.875,-1.6,-5.7,1219.551,1207.505,1.5221,1.1732,-1.335321190121208,-5.0040485829959565
2004-12,2004,12,2004.9166666666667,5.8,7.7,11398.724,2.8,3.3,3196.613,7.2,9.2,322.26,7,10.7,3103.438,13.8,8.5,823.372,3.6,6.8,856.783,7.7,6.9,982.473,5.3,-0.3,11341.84,16.7,1.3,2487.624,0.2,2.3,588.075,1.4,4.3,2449.161,9.8,4,826.469,-19.5,-24.3,1129.895,56.884,1.5359,1.1453,0.9066421391498602,-2.378111148994211
2005-01,2005,1,2005,5.1,4.7,11655.832,6.3,5.3,4552.491,-0.8,-0.8,367.573,6.4,6.4,2374.943,10.9,3.2,920.316,1.1,9.2,792.193,20.5,13.9,795.003,3.6,-2.6,10591.787,-8.1,-24.8,2181.894,-2.7,-2.8,757.81,1.1,4.5,2148.502,16.2,10.5,749.952,17.7,13.1,973.886,1064.045,1.5467,1.1777,0.7031707793476061,2.828953112721555
2005-02,2005,2,2005.0833333333333,0.6,-1,12051.218,2.2,0.3,4404.788,-5.9,-5.3,357.782,0.4,-1.2,2561.738,4.4,-3.1,928.784,-0.8,6.5,839.264,5.3,-4,853.79,11.1,6,11910.402,34.6,18.5,2827.194,-2.2,0.9,825.333,3.9,7,2220.059,8.7,5.4,878.547,-0.6,-3.5,1128.8,140.816,1.5499,1.1907,0.20689209284283638,1.1038464804279613
2005-03,2005,3,2005.1666666666667,-2.4,-1.9,13036.742,2.7,7.8,4691.859,-5.9,-3.8,372.71,-5.1,-4.6,2897.129,-3.3,-9.9,1006.756,-2.2,0.1,975.974,-5.9,-12.7,850.021,1.4,-4.8,12973.915,0.7,-16.7,2752.259,-7.6,-3.5,804.314,-3.4,-2.1,2505.605,4.4,3.4,1030.661,-0.3,-2.9,1326.993,62.827,1.5489,1.1727,-0.06452029163172002,-1.5117157974300799
2005-04,2005,4,2005.25,10.8,10.4,13273.982,8.1,9.1,4466.672,0.6,-0.2,302.301,9.2,9.4,3047.811,9.9,2.5,1029.701,16.7,17.6,980.126,23.5,19,1015.959,11.2,5.8,12897.036,20.5,8.1,3279.007,0.9,2.2,632.364,8,7.7,2491.552,1.6,0.1,818.75,6.2,7.4,1242.368,376.946,1.5471,1.1949,-0.11621150493899002,1.8930672806344306
2005-05,2005,5,2005.3333333333333,10.9,10,12759.225,14.1,18.8,4657.794,3.3,1.1,320.909,4.9,5.2,2735.511,7.4,-0.7,947.12,18.7,11.5,924.041,29.4,13.3,1038.027,13,7.5,11605.18,29.8,17.1,2580.319,4.2,5.6,574.588,10.4,10.6,2358.999,6.5,0.4,823.976,-5.7,-6.1,1126.776,1154.045,1.5448,1.2173,-0.1486652446512804,1.8746338605741153
2005-06,2005,6,2005.4166666666667,9.5,5.4,14169.957,15.4,9.9,5009.122,-5,-8.2,379.094,7,5.8,3203.381,7.9,0.3,1077.647,20.1,3.8,1083.327,1.4,-3.6,1050.64,4.7,0.5,12633.399,0.9,1.2,2578.086,-2.4,-3.9,667.611,10.7,6,2623.309,4.3,1.3,933.186,-4.8,-9.7,1449.618,1536.558,1.5382,1.2643,-0.4272397721387877,3.8610038610038533
2005-07,2005,7,2005.5,3.2,1.4,12829.934,6.5,9.8,4374.383,-0.1,-6.4,407.439,-0.8,-1.1,2909.003,3.9,-3.1,982.898,19.1,1.6,986.317,3.4,-2,995.904,5.6,-1.2,12207.161,7,-2.5,2718.79,-2.6,-4.9,831.679,5.3,0.9,2416.495,7.1,4.7,878.523,-4.9,-7.9,1175.22,622.773,1.5581,1.2937,1.2937199323885151,2.3253974531361354
