"CubeId";"ausshawarm"
"PublishingDate";"2017-09-21 09:00"

"Date";"D0";"D1";"D2";"Value"
"2001-09";"E";"TBS0";"N";"-5.4"
"2001-09";"E";"TBS0";"R";"-6.2"
"2001-09";"E";"F";"WMF";"989.424"
"2001-09";"E";"F";"N";"0.6"
"2001-09";"E";"F";"R";"-1.6"
"2001-09";"A";"T";"WMF";"10367.164"
"2001-09";"A";"T";"N";"-8.9"
"2001-09";"A";"T";"R";"-8.8"
"2001-09";"A";"MAE";"WMF";"2792.371"
"2001-09";"A";"MAE";"N";"-16.2"
"2001-09";"A";"MAE";"R";"-13.5"
"2001-09";"A";"C";"WMF";"3223.053"
"2001-09";"A";"C";"N";"4.8"
"2001-09";"A";"C";"R";"3.5"
"2001-09";"A";"M";"WMF";"838.699"
"2001-09";"A";"M";"N";"-12.9"
"2001-09";"A";"M";"R";"-12.4"
"2001-09";"A";"U";"WMF";"836.395"
"2001-09";"A";"U";"N";"-7.9"
"2001-09";"A";"U";"R";"-18.5"
"2001-09";"A";"P";"WMF";"658.945"
"2001-09";"A";"P";"N";"-6.4"
"2001-09";"A";"P";"R";"-0.3"
"2001-09";"A";"TBS1";"WMF";"355.971"
"2001-09";"A";"TBS1";"N";"-4.6"
"2001-09";"A";"TBS1";"R";"-6.8"
"2001-09";"H";"T";"WMF";"391.195"
"2001-10";"E";"T";"WMF";"11758.01"
"2001-10";"E";"T";"N";"-1.5"
"2001-10";"E";"T";"R";"1.3"
"2001-10";"E";"MAE";"WMF";"2538.073"
"2001-10";"E";"MAE";"N";"-11.4"
"2001-10";"E";"MAE";"R";"-4.5"
"2001-10";"E";"PUB";"WMF";"767.728"
"2001-10";"E";"PUB";"N";"0.6"
"2001-10";"E";"PUB";"R";"3.9"
"2001-10";"E";"C";"WMF";"2654.724"
"2001-10";"E";"C";"N";"23"
"2001-10";"E";"C";"R";"15.5"
"2001-10";"E";"TBS0";"WMF";"721.212"
"2001-10";"E";"TBS0";"N";"-3.5"
"2001-10";"E";"TBS0";"R";"-1.9"
"2001-10";"E";"F";"WMF";"1204.324"
"2001-10";"E";"F";"N";"-12.4"
"2001-10";"E";"F";"R";"-12.2"
"2001-10";"A";"T";"WMF";"12091.488"
"2001-10";"A";"T";"N";"4.5"
"2001-10";"A";"T";"R";"3.2"
"2001-10";"A";"MAE";"WMF";"3111.517"
"2001-10";"A";"MAE";"N";"-8.4"
"2001-10";"A";"MAE";"R";"-8.7"
"2001-10";"A";"C";"WMF";"3871.772"
"2001-10";"A";"C";"N";"26.4"
"2001-10";"A";"C";"R";"18.7"
"2001-10";"A";"M";"WMF";"913.558"
"2001-10";"A";"M";"N";"-7.2"
"2001-10";"A";"M";"R";"-5.5"
"2001-10";"A";"U";"WMF";"1139.388"
"2001-10";"A";"U";"N";"6"
"2001-10";"A";"U";"R";"2.3"
"2001-10";"A";"P";"WMF";"784.333"
"2001-10";"A";"P";"N";"7.6"
"2001-10";"A";"P";"R";"9.1"
"2001-10";"A";"TBS1";"WMF";"343.843"
"2001-10";"A";"TBS1";"N";"-5"
"2001-10";"A";"TBS1";"R";"-3.8"
"2001-10";"H";"T";"WMF";"333.478"
"2001-11";"E";"T";"WMF";"10596.12"
"2001-11";"E";"T";"N";"-12.6"
"2001-11";"E";"T";"R";"-11.5"
"2001-11";"E";"MAE";"WMF";"2477.935"
"2001-11";"E";"MAE";"N";"-14.4"
"2001-11";"E";"MAE";"R";"-10.2"
"2001-11";"E";"PUB";"WMF";"657.852"
"2001-11";"E";"PUB";"N";"-13.7"
"2001-11";"E";"PUB";"R";"-11.8"
"2001-11";"E";"C";"WMF";"2332.033"
"2001-11";"E";"C";"N";"6"
"2001-11";"E";"C";"R";"-6.5"
"2001-11";"E";"TBS0";"WMF";"597.987"
"2001-11";"E";"TBS0";"N";"-8.5"
"2001-11";"E";"TBS0";"R";"-7.1"
"2001-11";"E";"F";"WMF";"1125.424"
"2001-11";"E";"F";"N";"-30.7"
"2001-11";"E";"F";"R";"-33.2"
"2001-11";"A";"T";"WMF";"11505.81"
"2001-11";"A";"T";"N";"-3.4"
"2001-11";"A";"T";"R";"-1.8"
"2001-11";"A";"MAE";"WMF";"3159.594"
"2001-11";"A";"MAE";"N";"-7"
"2001-11";"A";"MAE";"R";"-7"
"2001-11";"A";"C";"WMF";"3402.581"
"2001-11";"A";"C";"N";"4"
"2001-11";"A";"C";"R";"5.4"
"2001-11";"A";"M";"WMF";"866.777"
"2001-11";"A";"M";"N";"-14"
"2001-11";"A";"M";"R";"-12.3"
"2001-11";"A";"U";"WMF";"1085.413"
"2001-11";"A";"U";"N";"-4.9"
"2001-11";"A";"U";"R";"-3.8"
"2001-11";"A";"P";"WMF";"772.719"
"2001-11";"A";"P";"N";"0.5"
"2001-11";"A";"P";"R";"3"
"2001-11";"A";"TBS1";"WMF";"336.713"
"2001-11";"A";"TBS1";"N";"-4.4"
"2001-11";"A";"TBS1";"R";"-1.4"
"2001-11";"H";"T";"WMF";"909.69"
"2001-12";"E";"T";"WMF";"8850.466"
"2001-12";"E";"T";"N";"-15"
"2001-12";"E";"T";"R";"-13.2"
"2001-12";"E";"MAE";"WMF";"2104.195"
"2001-12";"E";"MAE";"N";"-21.2"
"2001-12";"E";"MAE";"R";"-15.8"
"2001-12";"E";"PUB";"WMF";"567.358"
"2001-12";"E";"PUB";"N";"-22.9"
"2001-12";"E";"PUB";"R";"-21.9"
"2001-12";"E";"C";"WMF";"1723.036"
"2001-12";"E";"C";"N";"-6.7"
"2001-12";"E";"C";"R";"-18.7"
"2001-12";"E";"TBS0";"WMF";"522.467"
"2001-12";"E";"TBS0";"N";"-9.4"
"2001-12";"E";"TBS0";"R";"-10.1"
"2001-12";"E";"F";"WMF";"1052.552"
"2001-12";"E";"F";"N";"-12.3"
"2001-12";"E";"F";"R";"-13.9"
"2001-12";"A";"T";"WMF";"9212.249"
"2001-12";"A";"T";"N";"-9"
"2001-12";"A";"T";"R";"-9.4"
"2001-12";"A";"MAE";"WMF";"2699.128"
"2001-12";"A";"MAE";"N";"-22.2"
"2001-12";"A";"MAE";"R";"-19.2"
"2001-12";"A";"C";"WMF";"2769.155"
"2001-12";"A";"C";"N";"18.9"
"2001-12";"A";"C";"R";"10"
"2001-12";"A";"M";"WMF";"644.525"
"2001-12";"A";"M";"N";"-19.7"
"2001-12";"A";"M";"R";"-19.1"
"2001-12";"A";"U";"WMF";"817.92"
"2001-12";"A";"U";"N";"-13.7"
"2001-12";"A";"U";"R";"-20.8"
"2001-12";"A";"P";"WMF";"620.813"
"2001-12";"A";"P";"N";"-4.8"
"2001-12";"A";"P";"R";"-4.2"
"2001-12";"A";"TBS1";"WMF";"248.248"
"2001-12";"A";"TBS1";"N";"-7"
"2001-12";"A";"TBS1";"R";"-7.7"
"2001-12";"H";"T";"WMF";"361.783"
"2002-01";"E";"T";"WMF";"10509.621"
"2002-01";"E";"T";"N";"-2.9"
"2002-01";"E";"T";"R";"1.3"
"2002-01";"E";"MAE";"WMF";"2185.09"
"2002-01";"E";"MAE";"N";"-19.7"
"2002-01";"E";"MAE";"R";"-14.6"
"2002-01";"E";"PUB";"WMF";"684.846"
"2002-01";"E";"PUB";"N";"12.1"
"2002-01";"E";"PUB";"R";"13.4"
"2002-01";"E";"C";"WMF";"2145.62"
"2002-01";"E";"C";"N";"8.5"
"2002-01";"E";"C";"R";"9.2"
"2002-01";"E";"TBS0";"WMF";"868.72"
"2002-01";"E";"TBS0";"N";"1"
"2002-01";"E";"TBS0";"R";"-1.3"
"2002-01";"E";"F";"WMF";"1132.663"
"2002-01";"E";"F";"N";"10.5"
"2002-01";"E";"F";"R";"9.9"
"2002-01";"A";"T";"WMF";"11076.076"
"2002-01";"A";"T";"N";"4.5"
"2002-01";"A";"T";"R";"2.6"
"2002-01";"A";"MAE";"WMF";"2366.859"
"2002-01";"A";"MAE";"N";"-13.8"
"2002-01";"A";"MAE";"R";"-10.5"
"2002-01";"A";"C";"WMF";"4177.106"
"2002-01";"A";"C";"N";"15.4"
"2002-01";"A";"C";"R";"5"
"2002-01";"A";"M";"WMF";"780.951"
"2002-01";"A";"M";"N";"-13"
"2002-01";"A";"M";"R";"-10.5"
"2002-01";"A";"U";"WMF";"736.502"
"2002-01";"A";"U";"N";"-4.1"
"2002-01";"A";"U";"R";"-17.3"
"2002-01";"A";"P";"WMF";"644.925"
"2002-01";"A";"P";"N";"2"
"2002-01";"A";"P";"R";"2"
"2002-01";"A";"TBS1";"WMF";"371.557"
"2002-01";"A";"TBS1";"N";"5.5"
"2002-01";"A";"TBS1";"R";"1.4"
"2002-01";"H";"T";"WMF";"566.455"
"2002-02";"E";"T";"WMF";"10901.424"
"2002-02";"E";"T";"N";"-0.9"
"2002-02";"E";"T";"R";"2.5"
"2002-02";"E";"MAE";"WMF";"2187.359"
"2002-02";"E";"MAE";"N";"-12.4"
"2002-02";"E";"MAE";"R";"-7.5"
"2002-02";"E";"PUB";"WMF";"802.706"
"2002-02";"E";"PUB";"N";"21.4"
"2002-02";"E";"PUB";"R";"20.6"
"2002-02";"E";"C";"WMF";"2440.366"
"2002-02";"E";"C";"N";"20.9"
"2002-02";"E";"C";"R";"18"
"2002-02";"E";"TBS0";"WMF";"868.068"
"2002-02";"E";"TBS0";"N";"-0.9"
"2002-02";"E";"TBS0";"R";"-1.7"
"2002-02";"E";"F";"WMF";"1123.261"
"2002-02";"E";"F";"N";"-15.2"
"2002-02";"E";"F";"R";"-13.5"
"2002-02";"A";"T";"WMF";"10739.541"
"2002-02";"A";"T";"N";"-2.4"
"2002-02";"A";"T";"R";"0.3"
"2002-02";"A";"MAE";"WMF";"2491.852"
"2002-02";"A";"MAE";"N";"-17"
"2002-02";"A";"MAE";"R";"-14.6"
"2002-02";"A";"C";"WMF";"3596.429"
"2002-02";"A";"C";"N";"3.6"
"2002-02";"A";"C";"R";"6.2"
"2002-02";"A";"M";"WMF";"798.887"
"2002-02";"A";"M";"N";"-11.5"
"2002-02";"A";"M";"R";"-7.5"
"2002-02";"A";"U";"WMF";"795.255"
"2002-02";"A";"U";"N";"-12.1"
"2002-02";"A";"U";"R";"-12.2"
"2002-02";"A";"P";"WMF";"706.18"
"2002-02";"A";"P";"N";"1.9"
"2002-02";"A";"P";"R";"-4.6"
"2002-02";"A";"TBS1";"WMF";"370.1"
"2002-02";"A";"TBS1";"N";"7.6"
"2002-02";"A";"TBS1";"R";"2.9"
"2002-02";"H";"T";"WMF";"-161.883"
"2002-03";"E";"T";"WMF";"11032.839"
"2002-03";"E";"T";"N";"-9.7"
"2002-03";"E";"T";"R";"-6.8"
"2002-03";"E";"MAE";"WMF";"2281.232"
"2002-03";"E";"MAE";"N";"-20.9"
"2002-03";"E";"MAE";"R";"-16.3"
"2002-03";"E";"PUB";"WMF";"943.835"
"2002-03";"E";"PUB";"N";"9.5"
"2002-03";"E";"PUB";"R";"12"
"2002-03";"E";"C";"WMF";"2065.74"
"2002-03";"E";"C";"N";"-10.5"
"2002-03";"E";"C";"R";"-11.6"
"2002-03";"E";"TBS0";"WMF";"788.107"
"2002-03";"E";"TBS0";"N";"-9.6"
"2002-03";"E";"TBS0";"R";"-11.9"
"2002-03";"E";"F";"WMF";"1299.643"
"2002-03";"E";"F";"N";"-4.6"
"2002-03";"E";"F";"R";"-5.3"
"2002-03";"A";"T";"WMF";"11400.725"
"2002-03";"A";"T";"N";"-6.7"
"2002-03";"A";"T";"R";"-4"
"2002-03";"A";"MAE";"WMF";"2668.721"
