"CubeId";"devkum"
"PublishingDate";"2017-10-02 14:30"

"Date";"D0";"D1";"Value"
"2002-02";"M0";"SEK100";"16.0795"
"2002-02";"M0";"TRY100";"0.000124"
"2002-02";"M0";"USD1";"1.6979"
"2002-02";"M0";"CAD1";"1.0638"
"2002-02";"M0";"ARS100";"83.2805"
"2002-02";"M0";"BRL100";"70.065"
"2002-02";"M0";"MXN100";"18.6495"
"2002-02";"M0";"ZAR1";"0.1477"
"2002-02";"M0";"JPY100";"1.271015"
"2002-02";"M0";"AUD1";"0.87052"
"2002-02";"M0";"CNY100";"20.5054"
"2002-02";"M0";"HKD100";"21.76928"
"2002-02";"M0";"KRW100";"0.1287"
"2002-02";"M0";"MYR100";"44.6775"
"2002-02";"M0";"NZD1";"0.711"
"2002-02";"M0";"SGD100";"92.6865"
"2002-02";"M0";"THB100";"3.8728"
"2002-02";"M0";"XDR1";"2.113961"
"2002-03";"M0";"EUR1";"1.468"
"2002-03";"M0";"GBP1";"2.3822"
"2002-03";"M0";"DKK100";"19.746"
"2002-03";"M0";"NOK100";"19.012"
"2002-03";"M0";"CZK100";"4.6695"
"2002-03";"M0";"HUF100";"0.5989"
"2002-03";"M0";"PLN100";"40.4415"
"2002-03";"M0";"RUB100";"5.384"
"2002-03";"M0";"SEK100";"16.1995"
"2002-03";"M0";"TRY100";"0.000123"
"2002-03";"M0";"USD1";"1.6753"
"2002-03";"M0";"CAD1";"1.0554"
"2002-03";"M0";"ARS100";"69.4385"
"2002-03";"M0";"BRL100";"71.355"
"2002-03";"M0";"MXN100";"18.466"
"2002-03";"M0";"ZAR1";"0.1452"
"2002-03";"M0";"JPY100";"1.27779"
"2002-03";"M0";"AUD1";"0.87784"
"2002-03";"M0";"CNY100";"20.23138095"
"2002-03";"M0";"HKD100";"21.47951"
"2002-03";"M0";"KRW100";"0.1267"
"2002-03";"M0";"MYR100";"44.0835"
"2002-03";"M0";"NZD1";"0.7237"
"2002-03";"M0";"SGD100";"91.594"
"2002-03";"M0";"THB100";"3.8592"
"2002-03";"M0";"XDR1";"2.095825"
"2002-04";"M0";"EUR1";"1.466"
"2002-04";"M0";"GBP1";"2.3871"
"2002-04";"M0";"DKK100";"19.7162"
"2002-04";"M0";"NOK100";"19.2162"
"2002-04";"M0";"CZK100";"4.8249"
"2002-04";"M0";"HUF100";"0.6044"
"2002-04";"M0";"PLN100";"40.7567"
"2002-04";"M0";"RUB100";"5.301"
"2002-04";"M0";"SEK100";"16.0495"
"2002-04";"M0";"TRY100";"0.000125"
"2002-04";"M0";"USD1";"1.6549"
"2002-04";"M0";"CAD1";"1.046"
"2002-04";"M0";"ARS100";"56.091"
"2002-04";"M0";"BRL100";"71.3429"
"2002-04";"M0";"MXN100";"18.0748"
"2002-04";"M0";"ZAR1";"0.1493"
"2002-04";"M0";"JPY100";"1.265357"
"2002-04";"M0";"AUD1";"0.885976"
"2002-04";"M0";"CNY100";"19.97731818"
"2002-04";"M0";"HKD100";"21.217262"
"2002-04";"M0";"KRW100";"0.1254"
"2002-04";"M0";"MYR100";"43.5443"
"2002-04";"M0";"NZD1";"0.7326"
"2002-04";"M0";"SGD100";"90.4971"
"2002-04";"M0";"THB100";"3.8096"
"2002-04";"M0";"XDR1";"2.080106"
"2002-05";"M0";"EUR1";"1.4567"
"2002-05";"M0";"GBP1";"2.3175"
"2002-05";"M0";"DKK100";"19.5835"
"2002-05";"M0";"NOK100";"19.372"
"2002-05";"M0";"CZK100";"4.7637"
"2002-05";"M0";"HUF100";"0.5971"
"2002-05";"M0";"PLN100";"39.2035"
"2002-05";"M0";"RUB100";"5.074"
"2002-05";"M0";"SEK100";"15.795"
"2002-05";"M0";"TRY100";"0.000113"
"2002-05";"M0";"USD1";"1.5876"
"2002-05";"M0";"CAD1";"1.0241"
"2002-05";"M0";"ARS100";"47.582"
"2002-05";"M0";"BRL100";"64.055"
"2002-05";"M0";"MXN100";"16.6645"
"2002-05";"M0";"ZAR1";"0.1563"
"2002-05";"M0";"JPY100";"1.256635"
"2002-05";"M0";"AUD1";"0.87383"
